Date,Open,High,Low,Close,Adj Close,Volume
2011-09-19,56.714287,59.032856,56.457142,58.804287,52.115643,205965200
2011-09-20,59.321430,60.408573,58.741428,59.064285,52.346058,193938500
2011-09-21,59.948570,60.227142,58.857143,58.877144,52.180210,151494000
2011-09-22,57.290001,58.545715,56.671429,57.402859,50.873615,242120200
2011-09-23,57.182858,58.105713,57.121429,57.757141,51.187603,136569300
2011-09-26,57.122856,57.711430,55.900002,57.595715,51.044529,203219100
2011-09-27,58.389999,58.464287,56.865715,57.037144,50.549492,158124400
2011-09-28,57.169998,57.677143,56.644287,56.715714,50.264629,107409400
2011-09-29,57.417141,57.458572,55.172855,55.795715,49.449268,162771700
2011-09-30,55.302856,55.555714,54.454285,54.474285,48.278152,136910200
2011-10-03,54.338570,54.662857,53.310001,53.514286,47.427345,167274800
2011-10-04,53.509998,54.542858,50.605713,53.214287,47.161465,308419300
2011-10-05,52.551430,54.259998,51.471428,54.035713,47.889465,196617400
2011-10-06,53.332859,54.968571,53.114285,53.910000,47.778042,203145600
2011-10-07,53.682858,53.962856,52.641430,52.828571,46.819630,133864500
2011-10-10,54.155716,55.544285,54.029999,55.544285,49.226444,110628700
2011-10-11,56.081429,57.597141,55.928570,57.184284,50.679909,151421900
2011-10-12,58.191429,58.464287,57.162857,57.455715,50.920460,155571500
2011-10-13,57.854286,58.347141,57.549999,58.347141,51.710484,106546300
2011-10-14,59.547142,60.285713,59.324287,60.285713,53.428570,143341800
2011-10-17,60.248573,60.957142,59.419998,59.998573,53.174088,171511200
2011-10-18,60.251427,60.687141,59.427143,60.320000,53.458954,220400600
2011-10-19,57.335712,58.345715,56.828571,56.945713,50.468475,276014900
2011-10-20,57.142857,57.192856,56.315716,56.472858,50.049393,137317600
2011-10-21,56.871429,57.020000,55.821430,56.124287,49.740475,155311100
2011-10-24,56.597141,58.071430,56.485714,57.967144,51.373711,125534500
2011-10-25,57.861427,58.078571,56.768570,56.824287,50.360855,107606800
2011-10-26,57.394287,57.507141,56.164288,57.228573,50.719154,114076200
2011-10-27,58.222858,58.428570,57.412857,57.812859,51.236977,123666200
2011-10-28,57.571430,58.049999,57.501427,57.849998,51.269901,80710700
2011-10-31,57.488571,58.475716,57.292858,57.825714,51.248379,96375300
2011-11-01,56.772858,57.071430,56.174286,56.644287,50.201321,132947500
2011-11-02,57.155716,57.205715,56.444286,56.772858,50.315273,81837700
2011-11-03,57.009998,57.628571,56.480000,57.581429,51.031864,110346600
2011-11-04,57.432858,57.634285,57.022858,57.177143,50.673569,75557300
2011-11-07,57.130001,57.142857,56.590000,57.104286,50.608997,67568900
2011-11-08,57.458572,58.285713,57.365715,58.032856,51.431950,100110500
2011-11-09,56.709999,57.270000,56.318573,56.468571,50.045601,139671000
2011-11-10,56.718571,56.744286,54.592857,55.031429,48.771919,186188100
2011-11-11,55.230000,55.528572,54.322857,54.945713,48.695946,163446500
2011-11-14,54.788570,55.035713,54.028572,54.180000,48.017342,108226300
2011-11-15,54.400002,55.642857,54.207142,55.547142,49.228962,107702700
2011-11-16,55.607143,55.877144,54.902859,54.967144,48.714947,87302600
2011-11-17,54.854286,54.939999,53.642857,53.915714,47.783123,119975100
2011-11-18,54.131428,54.284286,53.554287,53.562859,47.470387,92984500
2011-11-21,52.914288,53.097141,52.272858,52.715714,46.719612,111995100
